from,to,from_name,to_name
1,12,2,12
1,20,2,22
1,29,2,32
1,33,2,37
1,34,2,38
1,35,2,40
1,37,2,41
1,38,2,42
1,40,2,51
1,44,2,54
1,45,2,55
1,46,2,56
1,47,2,57
1,49,2,59
1,50,2,49
2,16,3,17
2,27,3,29
2,49,3,59
3,10,4,10
3,16,4,17
3,20,4,22
3,27,4,29
3,35,4,40
3,49,4,59
4,5,1,5
5,6,5,6
5,7,5,7
5,18,5,20
5,24,5,26
5,31,5,34
5,36,5,39
5,43,5,48
5,51,5,46
6,19,6,21
6,30,6,33
6,52,6,50
7,22,7,24
7,48,7,58
8,27,8,29
8,36,8,39
8,51,8,46
9,20,9,22
9,23,9,25
9,27,9,29
9,34,9,38
9,35,9,40
9,41,9,52
9,46,9,56
9,47,9,57
9,49,9,59
9,59,9,36
10,23,10,25
10,35,10,40
11,12,11,12
11,20,11,22
11,35,11,40
11,49,11,59
11,53,11,60
12,15,12,16
12,20,12,22
12,21,12,23
12,29,12,32
12,33,12,37
12,34,12,38
12,35,12,40
12,37,12,41
12,38,12,42
12,40,12,51
12,41,12,52
12,42,12,53
12,43,12,48
12,44,12,54
12,45,12,55
12,46,12,56
12,47,12,57
12,48,12,58
12,49,12,59
12,55,12,18
12,59,12,36
12,62,12,43
13,14,13,14
13,54,13,15
14,54,14,15
15,33,16,37
15,43,16,48
15,52,16,50
16,20,17,22
16,27,17,29
16,28,17,30
16,35,17,40
16,46,17,56
16,49,17,59
17,31,19,34
17,48,19,58
17,52,19,50
18,19,20,21
18,51,20,46
19,30,21,33
19,51,21,46
20,21,22,23
20,23,22,25
20,27,22,29
20,28,22,30
20,33,22,37
20,34,22,38
20,35,22,40
20,40,22,51
20,41,22,52
20,42,22,53
20,43,22,48
20,44,22,54
20,45,22,55
20,46,22,56
20,47,22,57
20,49,22,59
20,53,22,60
20,58,22,65
21,27,23,29
21,33,23,37
21,35,23,40
21,43,23,48
21,49,23,59
21,56,23,61
21,57,23,64
21,58,23,65
21,59,23,36
22,23,24,25
22,59,24,36
23,35,25,40
24,31,26,34
24,32,26,35
24,51,26,46
25,26,27,28
25,27,27,29
26,27,28,29
27,28,29,30
27,35,29,40
27,49,29,59
28,35,30,40
28,49,30,59
28,60,30,31
29,33,32,37
29,35,32,40
29,37,32,41
29,44,32,54
29,45,32,55
29,46,32,56
29,49,32,59
29,50,32,49
30,31,33,34
30,32,33,35
31,32,34,35
31,51,34,46
32,51,35,46
33,35,37,40
33,49,37,59
34,35,38,40
34,40,38,51
34,47,38,57
34,49,38,59
35,37,40,41
35,38,40,42
35,40,40,51
35,41,40,52
35,42,40,53
35,43,40,48
35,44,40,54
35,45,40,55
35,46,40,56
35,47,40,57
35,49,40,59
35,53,40,60
35,58,40,65
35,63,40,62
35,64,40,63
36,51,39,46
37,38,41,42
38,43,42,48
39,61,44,45
40,41,51,52
40,42,51,53
40,44,51,54
40,45,51,55
40,46,51,56
40,47,51,57
40,48,51,58
40,49,51,59
41,42,52,53
41,44,52,54
41,45,52,55
41,46,52,56
41,47,52,57
41,48,52,58
41,49,52,59
42,44,53,54
42,45,53,55
42,46,53,56
42,47,53,57
42,48,53,58
42,49,53,59
43,44,48,54
43,45,48,55
43,46,48,56
43,49,48,59
44,45,54,55
44,46,54,56
44,47,54,57
44,48,54,58
44,49,54,59
45,46,55,56
45,47,55,57
45,48,55,58
45,49,55,59
46,47,56,57
46,48,56,58
46,49,56,59
47,48,57,58
47,49,57,59
48,49,58,59
49,53,59,60
49,57,59,64
49,58,59,65
